clean_content,Aspek,Sentimen
transaksi saya sangat banyak di tokopedia dan suatu saat saya ditawari tokopedia card setelah saya ikuti tidak di acc buang buang waktu saja karena atas kekecewaan itu saya uninstal dan pindah ke aplikasi lain tokopedia tidak biasa meprioritas kan usernya yang bertransaksi banyak di aplikasinya,Pelayanan,Negatif
sadar woy sadar sekalian lama main disini ternyata modal sama profit beda jauh kebanyakan modal yang angus profit hanya sedikit disini terus yang ada bangkrut,Kualitas,Negatif
kenapa saya tidak bisa mendapatkan gratis ongkir padahal sudah belanja lebih dari 50rb dan berat tidak sampai 1 kg,Harga,Negatif
mantap si ini mah tapi tolong tambahin fitur nya dong misi belanja dapet poin gitu jadi stiap belanja dpet kesempatan menangin hadiah heheh,Kualitas,Positif
barang sudah di terima pembeli tetapi tidak di respon pembeli bahwa paket sudah sampai saya sudah menunggu 2x24jam setelah 2 hari saya menunggu kenapa saldo saya di rivew lagi selama 2x24jam jadi saya harus menunggu 4 hari untuk mengambil uang saya,Pelayanan,Negatif
tokopedia hanya menyulitkan pembeli gara2 belanja disini uangku jadi hangus komplain ke cs untuk uang kembali saja dipersulit ya moga2 saja tuhan yang membalas karena menyulitkan orang lain pasti akan dipersulit lebih dari yang dirasakan orang yang mempersulit terimakasih sudah membuat saya kecewa,Pelayanan,Positif
iya gratis ongkir tapi nyampenya 2 minggu padahal belinya di kota sebelah dan barangnya lebih mahal 10 daripada yang oren,Harga,Netral
huft kok aplikasinya rata rata kek nipu in aku perkara beli sih waktu thn lalu padahal aku ingin apa aja pas beli dan seharusnya kalau udah ku beli waktu tahun lalu jangan pakai itu itu mulu kek mau nipu apalagi pas kalau sudah beli malah langsung kayak mau bagi duit atau bayar gitu auto kena tegur bapak perkara itu pusing saya,Kualitas,Netral
aplikasinya terlalu sering permintaan update jadi bosan masak baru di update 1 minggu sudah muncul permintaan update vitur baru kayak pemunculan vitur kesannya tidak terencana,Kualitas,Negatif
ongkir tokopedia sekarang 2 kali lipat mahal ya mana voucher potongan dikit auto kabur belanja ke sebelah,Harga,Netral
pengembalian dana super lelet dan super ribet ketika pembeli mengajukan pengembalian dana karena barang tidak nyampe2 maka yang dirugikan pembeli karena banyak sekali prosedur yang memakan waktu berminggu minggu sampe dana dikembalikan padahal sudah nyata2 di aplikasi barang tidak nyampe nyampe mirisnya lagi tidak ada pengembalian dana otomatis kalau pembeli tidak ajukan komplain meskipun sudah melebihi batas estimasi,Pelayanan,Negatif
one of the worst e commerce temenku mau pakai promo gratis ongkir malah di cancel trus hilang bangke,Harga,Negatif
update pengiriman barang agar selalu setiap hari s d barang sampai di lokasi tujuan n utk foto barang sampai dri pihak pengiriman kenapa sering tidak bsa dilihat keterangan foto gambar rusak biar makin mudah monitoring nya sudah nunggu smpe tgl 18 ehh updatenya hanya smpe tgl 15 aj tidak update puseenk boss,Pelayanan,Positif
pesanan sering dibatalkan sendiri oleh sistem terutama pesanan diskon dan promosi dengan alasan tidak sesuai kebijakan aneh banget kalau tidak sesuai kenapa bisa dico mana bayarnya juga pakai transfer bank tiba tiba dibatalin gitu aja padahal beli juga satuan aja auto uninstall sih kalau kek gitu pantes lama lama tidak rame apk aja sering nipu promo mana saldo yang direfund ngga bisa dipake belanja langsung harus tarik saldo dulu capeeeee,Pelayanan,Negatif
gartis ongkir tapi lelet banget hampir mw sminggu diskon 30 tapi di pesenan di batalin tokpet sendri tidak ush nawarin diskon kalau hanya iming2doank,Harga,Negatif
sumpah ya aku pakai aplikasi ini dari awal kuliah sekitar 2014an kayanya dari bener2 tidak ada gratis ongkir sampe debat sama temen disuruh pakai shopee karena ada gratis ongkir tidak tau enak aja dari dulu pakai tokopedia aplikasinya tidak berat sama sekali dan tidak lemot,Kualitas,Negatif
aplikasi yang promo dan realita nya menurut saya tidak sesuai promo pengguna bru harga murah murah rp 0 stlh log in hrg brubah mahal mahal hadeuuuhhh auto delete,Kualitas,Positif
terbantu sekali dengan punya aplikasi tokopedia belanja tanpa ribet dan bisa dipertanggung jawabkan nyaman lah punya aplikasi tokopedia,Kualitas,Positif
beli tas keranjang rp 100 r ongkir nya rp 50 r kemahalan bos 20 juni 2021 hadiah y di kasih langsung kalau jaring data orang semua individu rugi saya gan mendingan hadiah nya buat situ aja,Harga,Netral
ada apa dengan tokopedia sudah 3thn brlangganam pakai tokopedia baru kali ini paketan saya blm sampai sudah 1bln lbih pakai jasa jne komplain barang hilang blm jg ada solusi minta pengembalian dana prosesnya lama sedangkan saya beli barang pakai pinjaman si aplikasi ceria barang tidak smpe2 pengembalian dana tidak kunjung selesai prosesnya sedangkn saya tetap harus bayar bulanan pada ceria tolong dong dibantu untuk pihak pembeli konsumen biar tidak rugi,Pelayanan,Negatif
saya sudah lama langganan pakai tokopedia pengiriman tambah lama saran mending dikick aja expedisi anteraja sudah sering barang tidak sampe kalau pun sampai lama sekali mengecewakan pakai toko sebelah si oyen lebih bagus sekarang pelayanan datang ontime,Pelayanan,Positif
maaf sebagai pelanggan setia kamu dari tahun 2014 sekarang harus pindah ke lain hati karena beberapa x mengalami kekecewaan 1 voucher cashback diskon tidak bisa di gunakan 2 transaksi di batalkan sepihak adanya pelanggaran s k padahal saya tidak melanggar aturan apapun 3 gratis ongkir min belanja 50 rb di masa pandemi begini harus bener2 smart dan hemat dalam manage keuangan di tetangga belanja ceban juga gratis ongkir cod mudah2an tokopedia dgr masukan dri saya terimakasih,Pelayanan,Positif
alhamdulillah itu aplikasi nya sudah bagus tapi ana tidk mengerti cara membeli barng mohon maaf aku kash bintang 2 dlu tidak kalau sudah bisa cara membeli produk nya nanti aku kash bintng 5 ok tokopedia aku sudah kasih bintang 5 ya semoga tokopedia selalu ada selalu bisa ya dan tokopedia makin sukses amin ya robbal alamin,Pelayanan,Positif
pengiriman nya akhir2 ini pd jelek banget lewatin estimasi trus harus nya di warning sih expedisi nya padahal sesama jabodetabek yang biasanya bs smpe dalam 2 days tapi bs 4 5 days dan yang jawa kdg ampe 8 hari toko merah orange jabodetabek bs 1 hari smpe lo,Pelayanan,Negatif
lumayan membantu hanya perlu dibenahi buat dipermudah proses nya dan juga kalau bisa iklan jangan tampil lah bila kita menggunakan aplikasi ini buat transaksi,Kualitas,Positif
ngasih diskon doang as sudah transaksi malah di cancel sama sistem huh jadi hanya buang voucer,Harga,Negatif
kalau bisa di perbaiki lagi dan lebih baik cantumkan nomor hp kurir supaya pembeli bisa menghubungi kurir nya supaya bisa di pastikan kapan kurir datang jadi pembeli tidak gelisah menunggu paket datang dan bisa di tingal pergi misal nya keadaan mendadak ada acara kondangan kami pembeli bisa menghubungi kurir supaya lebih enak kalau masih kaya gini kurir datang jam berapa pembeli tidak tahu di saat pembeli ada keperluan mendesak kurir datang kan itu sungguh merepotkan,Pelayanan,Positif
saya sangat bersyukur sma tokopedia dan karyawan nya sangat memvantu banget meski saya harus bersabar menunggu lama tapi akhirnya dari pihak tokopedia ada yang bantuin kalau ada sepuluh bintang nya saya kasih sepuluh bintang nya,Pelayanan,Negatif
awas jangan sampai tertipu dengan aplikasi in promo hanya iming2 download anu in untuk dapat promo setelah di download dan di sambung kan ke aplikasi lain promo hilang tidak bisa di gunakan buruk sekali tidak ad yang nama nya gratis ongkir pas ad gratis ongkir untuk pengguna baru otomatis pesanan di batal kan sistem dan voucher pengguna pertama otomatis hangus karna tidak mau rugi beda sama shoppe,Pelayanan,Negatif
baru pertama kali untuk bergabung dengan tokopedia dan kami sebagai pedagang kecil kecilan depan sekolah madrasah mudah mudahan setelah gabung kami bisa meningkatkan macam kebutuhan masyarakat dan anak anak sekolah amiin,Pelayanan,Positif
kemajuan mantap sekali pertahankan tapi ada 1 nih free ongkir nya jasa ekspedisi swift swift barang saya 2 x nyasar ke mana ya heran saya orang yang nerima pun engga ada itikad baik nya anterin malah di embat aja lumayan barang gratis kali ya jadi ragu mau belanja lagi,Harga,Positif
saya belanja dan di batalkan otomatis tidak ada alesan pasti sama official store dan tidak bertanggung jawab katanya di kasih vocer kopensasi tapi vocernya tidak bisa di gunakan toolong yang benar kalau jualan saya sangat kecewa dengan tokopedia,Pelayanan,Negatif
ini benar sumpah emang nyata belanja gratis ongkir lagi lagi murah terimakasih banyak buat kalian blm dowload silahkan dowload,Harga,Positif
emang aplikasi payah bayar paylatter tidak pernah telat tiba2 diblokir tiba2 bisa digunakan 1 minggu kemudian blokir lagi fix uninstal aja pindah sama si orange lebih nyaman bye bye,Kualitas,Netral
sangat buruk katanya gratis ongkir eh malah lebih gedean ongkir nya dari pada harga barang nya mending aplikasi oren nya dari pada ini huh dasar penipuan,Kualitas,Negatif
aplilasi nya gaje ktanya dapt voucher beanja senilai 1000 000 pas gue dowload aplikasinya disuru daftar dulu di ikutin ehhh malah tidak kedaftar ber ulang2,Kualitas,Netral
untuk kurir sapx tolong jangan dimasukkan kurir rekomendasi karena paket saya yang biasanya paling lama 2 harian ini bisa 4 hari atau mungkin lebih padahal kemarin saya beli di toko itu cepet kirim nya edit sekarang tanggal 13 april 2024 dan paket saya dari tanggal 6 april 2024 di salah satu gerai sapx daerah rungkut surabaya dengan tujuan gresik belom bergerak samsek dan sudah coba saya samperin pada tanggal 9 april kata mereka barangnya ada tetapi hanya transit jadi tidak bisa diambil,Pelayanan,Positif
aplikasi banja online nya bagus reqomendasi banget tapi ada bug sedikit ya itu voucher diskon nya kadang bisa di pakai kandang tidak mohon di perbaiki terima kasih,Kualitas,Positif
cashback tidak pernah cair padahal jauh dari penyalahgunaan akun satu2 nya bisa nunggu berapa bulan untuk buat transaksi lagi,Harga,Netral
apa2 an saya pesan barang untuk pengguna baru traktiran dari tokopedia malah di batalkan ktanya melanggar maksud nya apa coba saya pesan speaker loh byar pakai ovo malah di batalkan bgitu saja sama pihak tokopedia ini traktirannya setengah2 ini tidak iklas,Pelayanan,Netral
apk tidak jelas sudah mesen tiba tiba di batalin mana gratis ongkirnya juga di hilngin lagi tidak jelass,Harga,Netral
gua beli hp masak hancur hp nya udah hancur rugi 5 juta layar pecah tidak bisa nyalah aku kenak kesetrum kerena hp nya untuk tidak parah apk bajigan lebih baik kalian tidak usah download apk ini pasti barang datang dan pasti barang hancur gua capek nabung 2tahu buat beliin hp untuk adik ku eh malah hacur hp nya beli di tokopedia lebih baik aku syaran kan jagan download ini apk ya gays oke jagan download nanti nyesel deh,Pelayanan,Positif
ini baru apk terhebat saya order berkali kali tetap gagal mau bayar blanjaan aja susah apalagi kalau minta gratis,Harga,Negatif
sekarang pakai promo atau discont tidak bisa buat cod ya gimana sihh ini kok makin ribet aja,Harga,Netral
tolong nya kasih tau sama sama pihak ketiga gopay later cicil sudah bayar masih nelpon terus jaman sudah canggih gini masih aja lemot,Kualitas,Negatif
untuk jasa ekpedisinya pertahankan sepeti ini sehingga sangat memudahakan pembeli dalam memilih ekspedisi yang cocok untuk setiap transaksi sehingga mempercepat pengiriman ke wilayah tujuan dan membuat barang sampai dengan cepat ke tangan pembeli,Pelayanan,Positif
yes dapat voucher 1jt beneran tidak sih atau hanya hoax nih atau hanya promo semata perlu bukti,Harga,Netral
tokopedia kenapa si barang yang saya pesan dibatalkan tiba tiba jadi saya tanya penjual dia bilang tidak tau jadi saya pesan ditempat lain karna barang yang saya pesan kemarin dibatalkan tiba tiba bukan saya yang batalkan kata penjual sistem yang batalkan sudah barang saya datang yang saya beli ditempat lain eehh besok nya barang yang dibatalkan itu datang cod lagi pusing saya jadinya saya punya jaket 2,Pelayanan,Negatif
toko pedia kalau mau nipu jagan harap tokopedia besar katanya dapat hadiah ultah pertamina yang ke 40 dan mendapatkan android rupanya suruh download apa hanya saya yang kena tipu kasih bintang 1 aja jagan nyesel nanti makin drop bintang kamu tokopedia,Pelayanan,Netral
ini gimana si ko pembayaran dibatalkan terus promo diskon 30rb untuk pengguna baru dihilangkan gajelas banget baru juga mau checkout,Harga,Netral
aplikasi saya pasang di oppo a39 android 5 1 setiap dibuka selalu nutup sendiri kalau emang tidak bisa ya mbok ditolak saat install,Kualitas,Negatif
minta update terus kalau tidak di update otomatis tidak bisa digunain eh pas di update 81 error terus tidak bisa 100 update saya ksih 1 bintang dulu kalau sudah ok 4 5 bintah sudah,Kualitas,Negatif
tidak jelas tokopedia aku sudah bayar harga 111 rb dibatalin sama sistem aneh padahal sudah bayar pakai kupon diskon 35 rb malah hangus kembalikkan kupon 35 rb kuuuuuuuu,Kualitas,Netral
aplikasihnya gimana sih jelek banget sih masa aku udah beli barang dan aku udah ternfers masa barang nya tidak datang datang sudah satu minggu nih saya rugi lima ratus ribu,Kualitas,Negatif
ihhh maaf ya akukomen kayak gini maaf masa di aplikasi ini barang nya mahal banget sihhh sekali lagi maaf kasih bintang 3,Kualitas,Netral
padahal sering belanja di tokopedia kenapa barang sudah seminggu lebih malah di return alesan alamatnya tidak tau trus apa kabar paket yang sudah pada dtng pindah shopee aja guys lebih aman,Kualitas,Negatif
aplikasi ini lumayan membantu tapi saya belum terlalu bisa menggunakannya mungkin saya belum terbiasa dengan aplikasi ini semoga aplikasi ini lebih banyak fitur yang mudah dipahami dan dimengerti didaalamnya nanti,Kualitas,Positif
tokopedia seller tidak relevan sekarang males isi saldo di sini katanya ada modal toko ah modus tidak ada untung jualan disini potongan gede banyak yang iseng di klik sembarangan saldo berkurang hati2 topup saldo disini harus teliti,Pelayanan,Positif
maaf sudah baik semua tapi kalau bisa maaf hanya saran ada sistem cod dan ongkirnya lbh d perhatikn insyaallh konsumen akn banyak lagi maaf sblm ny terimakasih,Harga,Positif
kebanyakan biaya tambahan ini itu dan kalau di cancel biaya tambahan nya layanan aplikasi hangus tidak dikembalikan tidak ada opsi ganti xpedisi selalu default anteraja yang selalu lemot dipengiriman e commerce yang meresahkan udah mulai ogah pakai ini mending buy offline ato e commerce lain,Pelayanan,Negatif
tokopedia sekarang dikenakan biaya transaksi ketika ingin melakukan pembayaran dulu tidak ada biaya transaksi lalu untuk promo potongan bebas ongkir dengan promo cashback sekarang hanya bisa pilih salah satu tidak bisa pilih keduanya tidak seperti sebelumnya yang bisa pilih keduanya,Pelayanan,Negatif
slmt sore trmksh atas hadia samsung s21 dari toko pedia semoga sks selalu dalam segala usaha y tuhan yesus memberkati tolong hadia y di kirim ke jl tondon lallangan no 17 tondon makale kel tondon mamullu kec bombongan makale kab tana toraja sul sel an esther tla ok,Pelayanan,Netral
mau belanja aja ribet banget e commerce tolol cek out sampe 10x dibatalkan terus up ah apus tidak guna nih aplikasi nyusahin doang,Kualitas,Netral
keren baru download mau belanja malah dapat gratis plus free ongkir pula yuuk download buruan,Harga,Positif
tidak jelas pakai pengguna baru punya kakak di anggap melanggar peraturan karena alamat sama hadeeehh tidak usah pakai program begini kalau masih di atur masa iya pakai alamat tetangga hmm saldo di refund pass balikin dan ke rekening gagal pakai alasan 1x24 jam liat peraturan dana refund hanya bs untuk belanja kembali aishhh maksud ny maksa,Kualitas,Negatif
belanja nyaman tanpa harus keluar rumah menyenangkan apalagi banyak kupon berhadia puass banget pokok nya aplikasi yang bagus dan sangat membantu,Kualitas,Positif
min klw mw bicara sama cs nya dimana caranya bagaimana saya ada pembelian payment pakai cc koq ada keterangan 2 23hari dibatalkan otomatis smntara saya lht invoice nya dibayar lunas kty dapat cashback stlh transaksislsai lah ini smpe slsai tidak ada cashback sama sekali mw chat cs nya tokopedia di apk tokopedia care gbs2 hedeuuhh bikin pusiannng aj tolong bantu dna kerjasamanya y min terimakasih,Pelayanan,Positif
bagus min banyakin lagi promo nya bagi2 rezeki di masa pandemi mantap jangan lupa coblos banteng merah salam perjuangan,Harga,Positif
kesel banget aku mau top up mumpung ada gratis ongkir 50 rb pas mau co aku kembaliin lagi ke awal eh pas mau top up ke alfa terus mau co gratis ongkir nya ilang,Harga,Positif
terimakasih tokopedia atas traktiran pengguna baru beli barang rp 0 dan sudah di konfirmasi pembayaran nya aku tidak perlu bayar lagi aku tinggal tunggu barangnya aja kalok beneran gratis pas sampai aku bakalan pakai ni aplikasi setiap mau belanja online ok aku tunggu aja barang nya dari tokopedia yang free terimakasih tokopedia,Pelayanan,Positif
menghadapi akhir tahun2021 diharap tidak ada eforia berlebihan kembang api mercon pawai arak2an ditiadakan demi keselamatan beras dari kebakaran angin ribut dsb aamin,Kualitas,Negatif
tokopedia ngga bnget sih mrut saya narik customer dengan iming2 promo ini itu saya download karena tertarik karena kta ny pnggna baru dapat pocer blanja 0 rupiah jadi saya download suami saya juga eh puny saya nya d cancel dong dengan alsan ada informasi yang sama atau aplah orang beda hp beda akun beda nmer imey bda email juga hanya sja srumah trus saya tanya emng nya tidak bleh ya orng srumah sma2 download kta nya gpp tapi ttp aja d cancel dengan alasan yang tidak masuk akal trus besok nya yang d hp suami saya d cncl jga,Pelayanan,Negatif
apk gatel kalau tidak niat ngasih potongan harga ya udah blok pakai banyak basa basi apk gatel,Harga,Netral
hallo tokopedia saya peserta prakerja gelombang 15 saya sudah menyelesaikan pelatihan dan mendapat sertifikat pada tanggal 26 maret 2021 tinggal menunggu sertifikat muncul di dashbord prakerja saya semoga prosesnya cepat yaa terimakasih banyak tokopedia,Pelayanan,Positif
kontil gratis ongkir pengguna baru katanyaaaaa apaan harus minimal pembayaran 50k mahal ajg online shop di fb lbih murah,Harga,Positif
saya tidak tau ya kenapa saya belanja kok di batalkan oleh tpped padahal saya sudah transfer sesuai total tagihan hanya karena saya pakai promo tokopedia dan promo gratis ongkir harga 165000 dan menjadi 136800 karena pakai promo saya di bilang pelanggaran padahal layanan promo tersedia sendri di aplikasi tokopedia,Pelayanan,Positif
di suruh login pakai google tapi tidak ada opsinya gimana sih developer nya coba di benerin bugnya tidak di ios tidak di android sama aja,Kualitas,Netral
terbantu sekali dengan adanya gratis ongkir apalagi untuk luar pulau jawa per hari ini sudah tidak bisa memakai ongkir dan cb bersamaan,Harga,Negatif
saya kecewa berat pesan barang dari tokopedia lama banget sampai nya seminggu an lebih kalah sama shopee estimasi tiba nya mundur dari waktu nya dan toko nya tidak bertanggung jawab saya kebagian tukang paket dari si cepat lelet banget kerja nya udah seminggu lebih tidak diantar antar kecewa saya ayo dong tokopedia gimana ini dengan pesanan saya,Pelayanan,Positif
pertama kali nyoba tokopedia aja udah nggak bagus paket aku udah aku bayar via indomaret tapi baru aja lunas pembayarannya eh dapet notif kalau paket aku di batalkan otomatis oleh sistem karena tidak sesuai dengan s k kecewa sih sama tokopedia,Pelayanan,Positif
kenapa fitur pembayaran cod setelah apk diperbarui jadi hilang diketerangan sudah jelas bisa mnggunaka cod tapi dipembayaran ko jadi ilang,Kualitas,Netral
jujur dulu pengguna aktif tokopedia makin kesini paket semakin lama tolong pihak tokopedia di ganti gratis ongkirnya pakai jasa yang lain karena jne terlalu lemot paket sering telat perkara free ongkir menggunakan jne,Kualitas,Negatif
selalu memakai alasan system utk pembatalan promonya tapi tidak bisa analisa yang mana fraud atau bukan,Harga,Netral
saya pesan barang sampai 2 kali dan tidak ada yang benar seler nya bikin kecewa dan uang saya belum kembali yang sudah saya batalkan pesanan nya belum di proses oleh seler nya malah di diamkan padahal online banyak nya seler kaya gini di tokopedia sangat kecewa,Pelayanan,Negatif
ini ada kendala apa ya ada gangguan di rumah tokopedia hmmm padahal mau belanja mau liat review komentar jadi tidak bisa sama mau ambil kupon diskon gabisa,Harga,Positif
seumur umur baru sekali kecewa dengan tokopedia beli di seller lawan kunci jok pcx 150 lokal di chat seller katanya ready barang bisa di gunaiin di pcx 150 lokal tapi ternyata yang di kirim punya pcx vietnam alhasil tidak bisa di pakai tolong di tindak penjual culas begitu mubadzir kan buang 2 uang,Pelayanan,Negatif
setelah di apdet kok malah jadi kacau ni aplikasi niatnya nyari tembakau mole yang keluar pisau sama batrai terus pencarian terbatas mulu benerin seperti semula lagi tuh bosku aing lieur lah,Kualitas,Netral
kenapa akhir ini tidak bisa buka halaman ulasan pembeli dan kadang pada menu halaman tertentu padahal sudah aku akalin un dan install ulang berkali kali,Kualitas,Negatif
penanganan jasa kurir delivery sering sekali bermasalah terutama soal keterlambatan tokopedia perbaiki lagi kerjasama dengan pihak kurir delivery mungkin kurir delivery merasa kurang dihargai sehingga kinerjanya tidak maksimal,Pelayanan,Positif
pengalaman saya jangan pernah beli di tokopedia paket rusak di expedisi tapi sampek sekarang sama pihak tokopedia belum di ganti dari tgl 30 juli 22 sampek sekarang kata nya nunggu 10hari kerja terus tidak ada lagi saya lapor lagi terus suruh nunggu lagi 7hari kerja tapi katanya masih di investigasi sama pihak tokopedia terus nunggu lagi 2x24jam tapi tidak ada dana refund sampek hari ini belum masuk juga kenapa anda tokopedia padahal hanya belanja sedikit balik nya lama heran saya,Pelayanan,Negatif
saya kecewa mau order bang ongkos kirim ya malah mahal dari 40ribu sekarang uda 72ribu dari man saya dapat untung ya kalu ongkos kirim segitu pada uda sering pakai aplikasi ini malh dinaiki harga ongkos kirim ya kasi pedang yang kecil untung gx seberapa tapi ongkos kirim ya yang malah tolong ongkos kirim ya di murah hin sebelum ya terima kasi mohon maaf kalu ada salah kata,Kualitas,Positif
jelek banget njer lama bgeud loadinfnya padahal hanya mw gnti nomor loading nyampe 6 mnit tidak jadi jadi tu loding smpe kakek gue bangkit lagi,Kualitas,Negatif
pas mau login masa code verifikasi tidak bisa mulu coba di benerin dulu kek tidak jelas sistemnya padahal nih aplikasi buat beli componen pc huh jelek banget najis,Kualitas,Negatif
untuk masalah upload video hasil review nya masa maksimal 30 detik saya harus edit lagi untuk bisa upload video yang 2 menit sangat disayangkan aplikasi sebelah bisa lebih lama,Kualitas,Negatif
tambah alamat aja susah benar error error segala tidak jelas harus pinpoint dll gakbisa dihapus suruh tambah detail alamat disave gabisa harus huruf angka dll akh mauskin alamat lengkap gabisa aplikasi erroe pindah toko oren,Pelayanan,Negatif
aplikasi ini bagus tapi mohon ditingkatkan lagi yang spesial dari tokopedia yang menarik perhatian publik adalah selalu tayang tiap bulan dan aku berharap exo bisa diundang dan gantian dengan bts dan blackpink terima kasih semoga pesan saya bisa dimengerti,Pelayanan,Positif
orderan dibatalkan oleh sistem padahal produk yang ditawarkan tokoh sudah valid dan promo yang digunakan juga sudah tersematkan sampai proses pembayaran satu lagi promo produk seperti gula dan minyak goreng seharga rp1 000 per liter setelah di checkout ongkos kirimnya lebih mahal daripada harga produk di pasaran dan yang lebih parahnya tidak ada gratis ongkir untuk produk yang sudah disematkan promo rp1 000 dengan kata lain program promo itu gagal,Pelayanan,Negatif
hati belanja di toko tanada shop lokasi tangerang saya kena kasus vga tidak normal yaitu suhu diatas 80 c dan ngelag parah ketika buat ngegame buat sakit mata tapi anehnya dimenangkan admin tokopedia skrng vga tidak saya pakai buat ngegame mohon perhatian admin tokopedia tolong ditindak penjual kayak gitu coz merugikan pembeli mksih,Pelayanan,Negatif
saya pengguna setia tokopedia dari 2014 senang karena promo gratis ongkir juga cashback diskon nya tapi sekarang gratis ongkir cashback diskon tidak bisa dipake secara bersama2 hanya bisa pilih salah satu akhirnya sekarang saya membiasakan untuk belajar belanja di s pee karena disana masih berlaku gratis ongkir juga promo cashback diskon yang dapat digunakan seluruhnya maaf tokopedia jika kondisi ini masih terus berlanjut maka kedepan saya akan uninstall aplikasi ini,Kualitas,Negatif
sayang banget sama tokopedia terimakasih buat diskon diskonnya sehat sehat terus tokopedia,Harga,Positif
bagaimana ini tiap saya ngeklik icon malah kembali ke beranda mau transaksi dan mau bayar cicilan gopaylater malah tidak bisa solusinya donk bagaimana wahai pihak tokopedia gimana saya bisa bayar cicilan kalau error seperti ini mohon solusi dan tindaklanjutnya terimakasih saya tunggu kabar baiknya,Pelayanan,Positif
bruh stop maksa aku buat terus terusan donwload aplikasi ini setiap lagi asik liat aplikasi lain malah mendadak kesini maaf kalau tersinggung,Kualitas,Positif
mohon maaf untuk toko pedia kalau saya tidak jadi melakukan pinjaman instan karena saya tidak bisa melengkapi data dan tidak punya no kantor yang tersedia saya mohon data saya yang sudah masuk tolong di hapus jangan di salah gunakan saya tidak akan bertanggung jawab jika tagihan atau hal yang lain nya karena saya tidak merasa pinjam dan terima kasih jika data2 saya di hapus mohon maaf saya lgsg hapus aplikasi nya ya,Pelayanan,Positif
buat programernya makin di update bukannya makin benar malah makin parah trutama di feed nya buat promoted nya cashback makin jarang banget,Kualitas,Negatif
iya sama sama kok kak aku naikin deh bintangnya tapi ada baju azuya surya tidak masa tidak tau sih yang ada di youtube tu kak itu kartun minecraft yang ada youtuber indonesia tuh kak namanya saya sebutin ya kak namanya odo kentang erpan beacon krim terus sama frost diamond dan azuya surya itu kak namanya oke bye selamat hari romadhon ya bentar lagi hari raya kalau ada salah mohon dimaafkan mohon maaf lahir dan batin bye assalamualaikum,Kualitas,Negatif
percuma di kasih promo 6070 tidak bisa ambil voucer cashback selalu habis di menit 10 00 dan 18 00,Harga,Negatif
tidak bisa make free ongkir kalau milih diskon lain sudah pindah ke si oren aj wlo aplikasinya berat tapi masih bisa gabung free ongkir sama cashback,Kualitas,Netral
sekalipun ada biaya gpp lah ya tapi masa saya topup gopay dari tgl 25 november 2022 sampai detik ini belum selesai mau sampai kapan saya menunggu,Kualitas,Positif
saya kecewa gopay coin nya tidak masuk senilai150 rb sedang kan saya dapet cashback senilai 150 rb,Harga,Negatif
batalkan pemesanan mau ganti warna tapi promo gratis ongkir udah ilang alias udah keitung kepake,Harga,Netral
barangnya murah dan terjangkau apalagi disconnya sangat banyak mantul pokoknya,Harga,Positif
aplikasi aneh katanya untuk pertama kali pakai bisa gratis item saya sudah beli tuh tapi dibatalkan otomatis bacaannya melanggar t c saya kan sudah memenuhi persyaratan nya aneh emg,Kualitas,Netral
izin komen maaf jika mengganggu saya sejujurnya saja kalau penggunaan tokopedia ini saya belom pernah sama sekali mesan atau beli sesuatu di sana tapi insyaallah saya yakin saja jika tokopedia ini amanah moga moga karena walaupun saya belom pernah membeli atau memesan sesuatu barang di tokopedia itu tapi saya sudah lama banget mempunyai atau mendownload aplikasi tokopedia ini jadi itu saya berdoa semoga tokopedia ini tidak merugikan saya dan yang lainnya,Pelayanan,Negatif
hati hati belaja ditokopedia banyak oknum penipuan berbasis digital iming iming ada tulisan dvd disaat kita kena tipu pihak tokopedia membela pelapak tampa alasan pihak pembeli yang tertipu lebih baik beli resmi jika berbasis digital karna pihak tokopedia tidak ada tanggung jawab jika kita ketipu oknum oknum tidak beres,Pelayanan,Positif
berat banget kayak manggul beras 1 kuintal muter2 load sering gagal jaringan gimana mau milih belanja nunggu load aja bisa 5 menit,Kualitas,Negatif
sudah 3kali blanja di tokopedia cepat0 prosesnya dan pengiriman ke daerah maluku sedikit murah ongkirnya saya sudah coba di toko online lain sumpah mahal banget ongkirnya dan saya coba di tokopedia e ternyata cocok nyaman blanja di tokopedia mantul tokopedia,Pelayanan,Positif
pada kabur sudah konsumen kena biaya 2ribu per transaksi bukannya di kasih diskon malah di suruh bayar,Harga,Netral
kenapa saya selalu mau beli barang pas loading selalu crash atau keluar dan tidak bs di masukin ke ke kranjang cape un install dan download lagi,Kualitas,Netral
bts benar aku kan penggemar berat bts aku mau download ah kan aku army aku aja beli ketoko harus milih2 yang gambar nya bts pasti di tokopedia banyak barang2 bt21 sama bts teman2 kalian boleh dowload ya karena banyak barang bts sama bt21 kalian army kan kalau aku army memang army hadir terimakasih sudah menciptakan apk ini terima kasih banyak2 bye bye,Pelayanan,Positif
sekarang jadi tidak bisa bikin lapak baru setiap mau bikin lapak selalu loading tiap mau upload foto dan berakhir dengan kalimat sedang ada gangguan ada yang mengalami hal yang sama,Kualitas,Netral
dapat produk gratis bagi pengguna baru trimakasih tokopedia belum datang sih barangnya tapi semoga nggak zonk ya,Harga,Positif
kenapa pas mau ke halaman pembayaran loading terus sampe setengah hari nggk kelar padahal kouta ada dan buat buka aplikasi lainnya lancar aja tolong lah diperbaiki,Kualitas,Positif
